140312 / EDWA00004   10,449,,510 Troup Avenue Kansas City KS 66101,V,$ 339.84
140355 / EDWA00147   10,450,,511 Troup Avenue Kansas City KS 66101,V,$ 335.69
099815 / DOCM00003   10,500,,3238 Kimball Avenue Kansas City KS 66104,V,$ 1127.43
910509 / DOLE00004   10,504,,2765 R North 32nd Street Kansas City KS 66104,V,$ 6351.81
912908 / KOSK00004   10,505,,1211 North 38th Street Kansas City KS 66102,V,$ 1351.69
056674 / MART00643  10,514,,324 North 33rd Street Kansas City KS 66102,I,$ 3393.83
062401 / JONE00637  10,516,,1869 North 41st Terrace Kansas City KS 66102,I,$ 11849.74
063667 / VALL00101  10,519,,1312 North 36th Street Kansas City KS 66102,V,$ 1111.54
100109 / MEEK00015  10,525,,3045 North 32nd Street Kansas City KS 66104,V,$ 13304.54
115509 / STRO00037  10,527,,3026 North 17th Street Kansas City KS 66104,V,$ 490.14
910653 / VANH00008 10,534,,3210 Georgia Avenue Kansas City KS 66104,V,$ 3131.38
143815 / INMA00002  10,535,,2411 Sumner Avenue Kansas City KS 66102,I,$ 10567.78
143848 / INMA00002  10,536,,2409 Sumner Avenue Kansas City KS 66102,V,$ 613.02
111881 / TUCK00039  300,542,,623 Winona Avenue Kansas City KS 66101,V,$ 24591.41
158265 / TURN00077  10,544,,2517 Hiawatha Street Kansas City KS 66104,V,$ 24821.21
081241 / DICK00021 10,560,,1045 Walker Avenue Kansas City KS 66104,V,$ 17814.86
081247 / DICK00021 10,561,,1027 Walker Avenue Kansas City KS 66104,V,$ 20324.44
913129 / KORN00002   10,569,,2501 North 41st Street Kansas City KS 66104,V,$ 4526.37
913135 / KORN00002   10,570,,2500 North 41st Street Kansas City KS 66104,V,$ 2027.98
045963 / LUCC00001  30,571,,5503 Clark Avenue Kansas City KS 66106,V,$ 2575.78
098455 / LOWE00039  10,584,,1937 North 15th Street Kansas City KS 66104,V,$ 17124.58
918013 / JAYH00006 10,587,,1323 & 1325 North 55th Street Kansas City KS 66102,V,$ 26769.46
934110 / SMIT00114  40,588,,530 South 86th Street Kansas City KS 66111,I,$ 21549.65
157809 / WHIT00196   480,597,,1330 Lafayette Avenue Kansas City KS 66104,V,$ 28439.68
157810 / WHIT00196   480,598,,1328 Lafayette Avenue Kansas City KS 66104,V,$ 25864.71
082314 / BANK00025  10,602,,1602 North 7th Street Kansas City KS 66101,I,$ 2335.02
107208 / MARS00080  10,605,,3156 North 48th Street Kansas City KS 66104,V,$ 21447.69
098544 / TAPI00049  10,616,,2005 North 16th Street Kansas City KS 66104,I,$ 513.04
106506 / JENK00031 10,620,,2931 N 12th Street Kansas City KS 66104,V,$ 12456.31
114538 / JENK00031 10,621,,2929 Roosevelt Street Kansas City KS 66104,V,$ 12888.61
054061 / GAMB00010  10,624,,1901 Minnesota Avenue Kansas City KS 66102,I,$ 4250.63
079655 / DIEH00003  30,628,,3621 Locust Avenue Kansas City KS 66106,I,$ 9171.43
080209 / MOOR00047  10,629,,1039 Oakland Avenue Kansas City KS 66102,V,$ 697.64
115013 / WILL00888  10,634,,3026 Roosevelt Street Kansas City KS 66104,I,$ 888.10
126397 / PAYN00027  10,652,,2016 South Ferree Street Kansas City KS 66103,I,$ 4133.61
023002 / NELS00039   10,656,,7102 Georgia Avenue Kansas City KS 66109,V,$ 11270.78
115382 / NEIG00005   10,657,,3030 North 16th Street Kansas City KS 66104,V,$ 411.94
124119 / JOHN00278 10,658,,3201 North 27th Street Kansas City KS 66104,V,$ 15506.46
080698 / JOHN00097 10,660,,1222 Nebraska Avenue Kansas City KS 66102,V,$ 21232.91
162013 / JOHN00336 10,663,,2256 Russell Avenue Kansas City KS 66104,V,$ 28009.94
162030 / JOHN00439 10,664,,2215 Russell Avenue Kansas City KS 66104,V,$ 22469.93
061834 / ORTE00052   10,666,,1946 North 45th Street Kansas City KS 66102,I,$ 1921.17
101303 / JONE00174 10,669,,2116 North 29th Street Kansas City KS 66104,V,$ 8223.26
109889 / JONE00084 10,672,,1967 North 5th Street Kansas City KS 66101,V,$ 931.35
209676 / NELS00058   10,674,,1136 Freeman Avenue Kansas City KS 66102,V,$ 20767.73
209722 / NELS00058   10,675,,1129 Freeman Avenue Kansas City KS 66102,V,$ 7443.37
903907 / JONE00158 10,677,,2732 North 8th Street Kansas City KS 66101,V,$ 8516.99
071207 / JONE00181 10,678,,844 Gilmore Avenue Kansas City KS 66101,V,$ 9251.70
106149 / JARB00004  10,679,,2922 North 10th Street Kansas City KS 66104,V,$ 362.96
165048 / JONE00150 10,682,,3031 Delavan Avenue Kansas City KS 66104,V,$ 7143.20
921504 / JOHN00338 10,683,,1905 R North 60th Street Kansas City KS 66102,V,$ 6384.31
104714 / JOHN00371 10,689,,2931 North 38th Street Kansas City KS 66104,V,$ 6972.88
132117 / HERR00087  10,691,,637 Georgia Avenue Kansas City KS 66101,I,$ 2460.03
143940 / COND00015  10,693,,2225 Bunker Avenue Kansas City KS 66102,V,$ 2181.25
143941 / PAEZ00006  10,694,,2229 Bunker Avenue Kansas City KS 66102,V,$ 958.20
158784 / SAGE00009  10,702,,1821 Longwood Avenue Kansas City KS 66104,I,$ 4002.11
000106 / NEEL00023  10,703,,2820 North 60th Street Kansas City KS 66104,V,$ 1045.62
109654 / JOHN00299  300,705,,2506 North 6th Street Kansas City KS 66101,V,$ 482.07
